id,pais,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
65,Líbano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,2470,6160,0
66,Libéria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744,3627,7789,3304,4472,4331
67,Luxemburgo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7585,2923,2604,8050,4956,5821,3344,0,4738,6870,0,566,2185,768,2969,0,0,0,323
68,Maldivas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15350,13901,24781
69,Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1676,4554,2653,1013,45970
70,"Marshall, Ilhas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,762,4447,6680,5144,4592,6261
71,Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
72,México,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119328,0,0,0,0,0,0,0,3213,0,0,0,0,0
73,Nicarágua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,59,0,0,0,0,0,0,0,0,0,0,0,0
74,Nigéria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54952,0,0,0,0,0,0,0,0,4096,0,0,0,0,0,614,2372,0,0,0,513,0,5005,9322,20341,0,39291,0
75,Noruega,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25045,17467,4471,144306,13291,0,0,381,850,493,192,10335,0
76,Nova Zelândia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1897,1171,1120,704,1055,0,1217,183,0,0,0,0,4534
77,Países Baixos (Holanda),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,1299,0,13526,14340,24347,29339,11822,60132,9572,0,0,0,1355,755,565,6745,52
78,Panamá,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3096,0,0,0,0,0,0,27581,0,0,0,0,0,57,0,0,0,0,0,0,0,1059,9055,22182,6153,35632,51051
79,Paraguai,567,246,2648,125594,14284,32533,7637,35147,17503,1175,4372,232,835,805,2022,0,14956,32496,26225,18742,0,3596,6160,2038,66710,0,1848,0,1155,1020316,103603,85942,3096,2794,15727,59496,30103,10413,12725,38475,30956,11044,14010,104924,124538,99861,163366,336271,297624,318926,64845,182538,231347,257637
80,Peru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,7956,2450,0,0,0,864
81,Polônia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13072,8404,689,0,0,0,1451,2535,0,0,96707,75917,33,0,0,785
82,Porto Rico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1781,0,0,1612,0,0,0,0,0
83,Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22862,0,0,0,0,0,0,12324,24807,17221,11696,156,668,40807
84,Quênia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,18504,0,0,0,0,0,0,563,2,0,0,0,1612,0,0,0,0,0,0
85,Reino Unido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50240,0,0,0,0,0,0,0,0,0,0,0,37899,4626,12426,91206,0,68757,10020,78793,87841,739194,113566,280389,129372,87277,65477,50498,52171,63273,102936
86,Republica Dominicana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Republica Tcheca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3474,2909,4752,5989,1618,1295,0,2546,0,1913,73,301,626,1149,0,0,0,0,0,0
88,Rússia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66005,99014,0,0,6270,0
89,Serra Leoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2590,1295,1390,1558
90,Singapura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3172,1451,5877,808
91,Suécia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,873,23022,13020,0,0,0,6920,632,2482,492,1434,272,0,0,0,0,0
92,Suíça,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15057,633,3414,1410,20,62492,0,0,15715,34860,15634,122195,10728,2989,18774,0,11663,899,5813,0,4918
93,Suriname,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,27,0,0,0,5,0,5082,0,0
94,Tailândia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,303,164,124,50
95,Taiwan (Formosa),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16190,8081,0,11,5207,6833,5042,4763
96,"Tcheca, República",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1403
97,Trinidade e Tobago,0,0,0,0,0,0,0,0,895,1485,18384,0,0,0,0,0,0,0,0,0,0,4317,0,0,7622,1635,2366,0,0,0,0,0,0,0,0,0,182,0,0,0,38,0,2168,0,1785,0,0,0,0,0,0,0,0,0
98,Turquia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,93,332,19,33496
99,Uruguai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1067,63,1159,2910,8375,1851,1341,0,286,0,3937,0,0,0,21797,0,0,105471,162973,94125,35741,61818,43304,17853,17118,0,98095,17164
100,Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0
101,Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,32558,52907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11535,0,48,0,29,2660,15,3120,0,0,0,0
102,Vietnã,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2443,840,0,0,0,0,0,0,0,0,0,0,518,35,0
103,Outros(1),8340,0,1779,246,0,0,4270,0,289,1549,3225,2434,709,185,0,6930,7183,335,63446,8187,0,61092,2234,4089,0,0,0,0,131,0,0,5869,2621,0,0,0,0,16441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
